id	presenter_id	timezone	country	gmt_diff	T1	T2	T3	possible_time_slots
35895	presenter 1	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35969	presenter 2	(GMT-05:00) Eastern Time (US & Canada)	USA	-5	TRUE	FALSE	TRUE	T1, T3
35948	presenter 3	(GMT+01:00) Warsaw	Poland	1	TRUE	TRUE	TRUE	T1, T2, T3
35892	presenter 4	(GMT-05:00) Eastern Time (US & Canada)	Canada	-5	TRUE	FALSE	TRUE	T1, T3
35954	presenter 5	(GMT+01:00) Rome	Italy	1	TRUE	TRUE	TRUE	T1, T2, T3
35852	presenter 6	(GMT+01:00) Paris	France	1	TRUE	TRUE	TRUE	T1, T2, T3
35942	presenter 7	(GMT-08:00) Pacific Time (US & Canada)	USA	-8	TRUE	TRUE	FALSE	T1, T2
35970	presenter 7	(GMT-08:00) Pacific Time (US & Canada)	USA	-8	TRUE	TRUE	FALSE	T1, T2
35931	presenter 8	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35902	presenter 9	(GMT+01:00) Vienna	Austria	1	TRUE	TRUE	TRUE	T1, T2, T3
35905	presenter 9	(GMT+01:00) Vienna	Austria	1	TRUE	TRUE	TRUE	T1, T2, T3
35926	presenter 10	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35783	presenter 11	(GMT+01:00) Rome	Italy	1	TRUE	TRUE	TRUE	T1, T2, T3
35864	presenter 12	(GMT-05:00) Eastern Time (US & Canada)	Canada	-5	TRUE	FALSE	TRUE	T1, T3
35933	presenter 13	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35751	presenter 14	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35860	presenter 15	(GMT-05:00) Eastern Time (US & Canada)	Canada	-5	TRUE	FALSE	TRUE	T1, T3
35951	presenter 16	(GMT+02:00) Istanbul	Turkey	2	TRUE	TRUE	TRUE	T1, T2, T3
35861	presenter 17	(GMT+02:00) Jerusalem	Israel	2	TRUE	TRUE	TRUE	T1, T2, T3
35867	presenter 18	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35903	presenter 19	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35912	presenter 20	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35885	presenter 21	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35769	presenter 22	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35770	presenter 22	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35762	presenter 23	(GMT+01:00) Bern	Switzerland	1	TRUE	TRUE	TRUE	T1, T2, T3
35907	presenter 24	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35842	presenter 25	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35809	presenter 26	(GMT+01:00) Paris	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35814	presenter 27	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35819	presenter 28	GMT+00:00	UK	0	TRUE	FALSE	TRUE	T1, T3
35785	presenter 29	(GMT+02:00) Istanbul	Turkey	2	TRUE	TRUE	TRUE	T1, T2, T3
35797	presenter 30	(GMT+01:00) Amsterdam	The Netherlands	1	TRUE	TRUE	TRUE	T1, T2, T3
35859	presenter 31	(GMT-05:00) Eastern Time (US & Canada)	USA	-5	TRUE	FALSE	TRUE	T1, T3
35876	presenter 32	(GMT+00:00) London	UK	0	TRUE	FALSE	TRUE	T1, T3
35782	presenter 33	(GMT+01:00) Madrid	Spain	1	TRUE	TRUE	TRUE	T1, T2, T3
35818	presenter 34	(GMT-05:00) Eastern Time (US & Canada)	USA	-5	TRUE	FALSE	TRUE	T1, T3
35971	presenter 35	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35778	presenter 36	(GMT+01:00) Paris	France	1	TRUE	TRUE	TRUE	T1, T2, T3
35781	presenter 37	(GMT+00:00) Edinburgh	UK	0	TRUE	FALSE	TRUE	T1, T3
35946	presenter 38	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35739	presenter 39	(GMT-05:00) Eastern Time (US & Canada)	USA	-5	TRUE	FALSE	TRUE	T1, T3
35830	presenter 40	(GMT+01:00) Rome	Italy	1	TRUE	TRUE	TRUE	T1, T2, T3
35920	presenter 41	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35796	presenter 42	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35735	presenter 43	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35813	presenter 44	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35798	presenter 45	(GMT+08:00) Singapore	Singapore	8	FALSE	TRUE	TRUE	T2, T3
35963	presenter 46	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35958	presenter 47	(GMT+01:00) Paris	France	1	TRUE	TRUE	TRUE	T1, T2, T3
35944	presenter 48	(GMT+01:00) Berlin	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35893	presenter 49	(GMT-05:00) Eastern Time (US & Canada)	Canada	-5	TRUE	FALSE	TRUE	T1, T3
35792	presenter 50	(GMT+00:00) London	UK	0	TRUE	FALSE	TRUE	T1, T3
35922	presenter 51	(GMT+01:00) Copenhagen	Denmark	1	TRUE	TRUE	TRUE	T1, T2, T3
35927	presenter 51	(GMT+01:00) Copenhagen	Denmark	1	TRUE	TRUE	TRUE	T1, T2, T3
35901	presenter 52	(GMT+02:00) Bucharest	Hungary	2	TRUE	TRUE	TRUE	T1, T2, T3
35851	presenter 53	(GMT+00:00) Dublin	Ireland	0	TRUE	FALSE	TRUE	T1, T3
35872	presenter 54	(GMT-05:00) Eastern Time (US & Canada)	Canada	-5	TRUE	FALSE	TRUE	T1, T3
35734	presenter 55	(GMT+00:00) London	UK	0	TRUE	FALSE	TRUE	T1, T3
35904	presenter 56	(GMT+04:00) St. Petersburg	Russia	4	TRUE	TRUE	TRUE	T1, T2, T3
35755	presenter 57	(GMT-08:00) Pacific Time (US & Canada)	USA	-8	TRUE	TRUE	FALSE	T1, T2
35821	presenter 58	(GMT-05:00) Eastern Time (US & Canada)	Canada	-5	TRUE	FALSE	TRUE	T1, T3
35935	presenter 59	(GMT+01:00) Copenhagen	Denmark	1	TRUE	TRUE	TRUE	T1, T2, T3
35869	presenter 60	(GMT-05:00) Eastern Time (US & Canada)	USA	-5	TRUE	FALSE	TRUE	T1, T3
35932	presenter 61	(GMT+00:00) London	UK	0	TRUE	FALSE	TRUE	T1, T3
35787	presenter 62	(GMT-08:00) Pacific Time (US & Canada)	Canada	-8	TRUE	TRUE	FALSE	T1, T2
35807	presenter 63	(GMT+02:00) Istanbul	Turkey	2	TRUE	TRUE	TRUE	T1, T2, T3
35808	presenter 63	(GMT+02:00) Istanbul	Turkey	2	TRUE	TRUE	TRUE	T1, T2, T3
35968	presenter 64	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35759	presenter 65	(GMT+00:00) London	UK	0	TRUE	FALSE	TRUE	T1, T3
35836	presenter 66	(GMT+00:00) London	UK	0	TRUE	FALSE	TRUE	T1, T3
35908	presenter 67	(GMT+02:00) Istanbul	Turkey	2	TRUE	TRUE	TRUE	T1, T2, T3
35801	presenter 68	(GMT-05:00) Eastern Time (US & Canada)	USA	-5	TRUE	FALSE	TRUE	T1, T3
